ROI name,EPI_X,EPI_Y,EPI_Z,EPI_peakT,GRE_X,GRE_Y,GRE_Z,GRE_peakT,SPE_X,SPE_Y,SPE_Z,SPE_peakT,NLREG_X,NLREG_Y,NLREG_Z,NLREG_peakT,NONE_X,NONE_Y,NONE_Z,NONE_peakT
left  hMT+,-46,-72,6,14.96,-43,-74,6,15.56,-43,-74,6,16.18,-43,-74,6,15.97,-43,-72,6,13.70
right hMT+,45,-69,2,13.47,46,-67,3,12.31,45,-69,2,14.56,45,-69,2,12.69,47,-69,0,12.98
left V3a,-23,-82,30,11.80,-26,-79,26,11.59,-23,-82,30,11.09,-21,-85,32,12.26,-23,-82,30,11.81
right V3a,25,-77,32,12.05,25,-79,32,11.41,25,-79,32,11.73,25,-79,32,13.50,25,-77,32,12.11
left SPL,-33,-54,56,9.37,-33,-54,56,9.15,-33,-54,56,9.05,-33,-57,56,9.70,-33,-54,56,9.22
right SPL,22,-54,56,8.30,22,-54,56,8.45,22,-54,56,7.97,25,-57,62,7.96,25,-54,60,8.24
left FEF,-31,-6,54,7.28,-31,-6,50,7.66,-31,-6,50,7.00,-23,-14,54,5.91,-31,-6,50,7.26
right FEF,30,-6,50,7.01,30,-6,50,7.55,30,-4,50,6.90,30,-6,50,7.20,30,-6,50,7.07
left V1,-18,-87,-6,10.80,-21,-85,-16,12.55,-21,-87,-16,12.73,-21,-85,-16,13.86,-21,-87,-16,13.50
right V1,5,-87,-6,12.78,7,-87,-6,12.89,5,-87,-6,13.60,5,-85,-6,12.57,5,-87,-6,12.41